ogc_fid,grd_fixid,grd_floaid,grd_newid,shape_leng,shape_area,ms_pop
10115,4.0.39150000.30940000,3915.3094.4,1kmN3094E3915,4000.000000000000000,1000000.000000000000000,"911"
10267,4.0.39160000.30930000,3916.3093.4,1kmN3093E3916,4000.000000000000000,1000000.000000000000000,"261"
10268,4.0.39160000.30940000,3916.3094.4,1kmN3094E3916,4000.000000000000000,1000000.000000000000000,"253"
10269,4.0.39160000.30950000,3916.3095.4,1kmN3095E3916,4000.000000000000000,1000000.000000000000000,"332"
10270,4.0.39160000.30960000,3916.3096.4,1kmN3096E3916,4000.000000000000000,1000000.000000000000000,"2265"
10421,4.0.39170000.30930000,3917.3093.4,1kmN3093E3917,4000.000000000000000,1000000.000000000000000,"286"
10422,4.0.39170000.30940000,3917.3094.4,1kmN3094E3917,4000.000000000000000,1000000.000000000000000,"61"
10423,4.0.39170000.30950000,3917.3095.4,1kmN3095E3917,4000.000000000000000,1000000.000000000000000,"206"
10424,4.0.39170000.30960000,3917.3096.4,1kmN3096E3917,4000.000000000000000,1000000.000000000000000,"1913"
10578,4.0.39180000.30930000,3918.3093.4,1kmN3093E3918,4000.000000000000000,1000000.000000000000000,"909"
10579,4.0.39180000.30940000,3918.3094.4,1kmN3094E3918,4000.000000000000000,1000000.000000000000000,"2576"
10580,4.0.39180000.30950000,3918.3095.4,1kmN3095E3918,4000.000000000000000,1000000.000000000000000,"5260"
10581,4.0.39180000.30960000,3918.3096.4,1kmN3096E3918,4000.000000000000000,1000000.000000000000000,"3787"
10582,4.0.39180000.30970000,3918.3097.4,1kmN3097E3918,4000.000000000000000,1000000.000000000000000,"3578"
10583,4.0.39180000.30980000,3918.3098.4,1kmN3098E3918,4000.000000000000000,1000000.000000000000000,"699"
10584,4.0.39180000.30990000,3918.3099.4,1kmN3099E3918,4000.000000000000000,1000000.000000000000000,"2103"
10737,4.0.39190000.30910000,3919.3091.4,1kmN3091E3919,4000.000000000000000,1000000.000000000000000,"1581"
10738,4.0.39190000.30920000,3919.3092.4,1kmN3092E3919,4000.000000000000000,1000000.000000000000000,"413"
10739,4.0.39190000.30930000,3919.3093.4,1kmN3093E3919,4000.000000000000000,1000000.000000000000000,"381"
