ogc_fid,grd_fixid,grd_floaid,grd_newid,shape_leng,shape_area,ms_pop
10740,4.0.39190000.30940000,3919.3094.4,1kmN3094E3919,4000.000000000000000,1000000.000000000000000,"10006"
10741,4.0.39190000.30950000,3919.3095.4,1kmN3095E3919,4000.000000000000000,1000000.000000000000000,"8122"
10742,4.0.39190000.30960000,3919.3096.4,1kmN3096E3919,4000.000000000000000,1000000.000000000000000,"12110"
10743,4.0.39190000.30970000,3919.3097.4,1kmN3097E3919,4000.000000000000000,1000000.000000000000000,"5179"
10744,4.0.39190000.30980000,3919.3098.4,1kmN3098E3919,4000.000000000000000,1000000.000000000000000,"3799"
10745,4.0.39190000.30990000,3919.3099.4,1kmN3099E3919,4000.000000000000000,1000000.000000000000000,"9661"
10746,4.0.39190000.31000000,3919.3100.4,1kmN3100E3919,4000.000000000000000,1000000.000000000000000,"2963"
10747,4.0.39190000.31010000,3919.3101.4,1kmN3101E3919,4000.000000000000000,1000000.000000000000000,"526"
10748,4.0.39190000.31020000,3919.3102.4,1kmN3102E3919,4000.000000000000000,1000000.000000000000000,"358"
10897,4.0.39200000.30900000,3920.3090.4,1kmN3090E3920,4000.000000000000000,1000000.000000000000000,"2925"
10898,4.0.39200000.30910000,3920.3091.4,1kmN3091E3920,4000.000000000000000,1000000.000000000000000,"2726"
10899,4.0.39200000.30920000,3920.3092.4,1kmN3092E3920,4000.000000000000000,1000000.000000000000000,"5234"
10900,4.0.39200000.30930000,3920.3093.4,1kmN3093E3920,4000.000000000000000,1000000.000000000000000,"1123"
10901,4.0.39200000.30940000,3920.3094.4,1kmN3094E3920,4000.000000000000000,1000000.000000000000000,"529"
10902,4.0.39200000.30950000,3920.3095.4,1kmN3095E3920,4000.000000000000000,1000000.000000000000000,"13285"
10903,4.0.39200000.30960000,3920.3096.4,1kmN3096E3920,4000.000000000000000,1000000.000000000000000,"18150"
10904,4.0.39200000.30970000,3920.3097.4,1kmN3097E3920,4000.000000000000000,1000000.000000000000000,"16999"
10905,4.0.39200000.30980000,3920.3098.4,1kmN3098E3920,4000.000000000000000,1000000.000000000000000,"12847"
10906,4.0.39200000.30990000,3920.3099.4,1kmN3099E3920,4000.000000000000000,1000000.000000000000000,"13850"
10907,4.0.39200000.31000000,3920.3100.4,1kmN3100E3920,4000.000000000000000,1000000.000000000000000,"8276"
10908,4.0.39200000.31010000,3920.3101.4,1kmN3101E3920,4000.000000000000000,1000000.000000000000000,"98"
10909,4.0.39200000.31020000,3920.3102.4,1kmN3102E3920,4000.000000000000000,1000000.000000000000000,"208"
11058,4.0.39210000.30890000,3921.3089.4,1kmN3089E3921,4000.000000000000000,1000000.000000000000000,"2508"
11059,4.0.39210000.30900000,3921.3090.4,1kmN3090E3921,4000.000000000000000,1000000.000000000000000,"4689"
11060,4.0.39210000.30910000,3921.3091.4,1kmN3091E3921,4000.000000000000000,1000000.000000000000000,"6944"
11061,4.0.39210000.30920000,3921.3092.4,1kmN3092E3921,4000.000000000000000,1000000.000000000000000,"7283"
11062,4.0.39210000.30930000,3921.3093.4,1kmN3093E3921,4000.000000000000000,1000000.000000000000000,"10199"
11063,4.0.39210000.30940000,3921.3094.4,1kmN3094E3921,4000.000000000000000,1000000.000000000000000,"11444"
11064,4.0.39210000.30950000,3921.3095.4,1kmN3095E3921,4000.000000000000000,1000000.000000000000000,"5388"
11065,4.0.39210000.30960000,3921.3096.4,1kmN3096E3921,4000.000000000000000,1000000.000000000000000,"10275"
11066,4.0.39210000.30970000,3921.3097.4,1kmN3097E3921,4000.000000000000000,1000000.000000000000000,"12190"
11067,4.0.39210000.30980000,3921.3098.4,1kmN3098E3921,4000.000000000000000,1000000.000000000000000,"15003"
11068,4.0.39210000.30990000,3921.3099.4,1kmN3099E3921,4000.000000000000000,1000000.000000000000000,"14337"
11069,4.0.39210000.31000000,3921.3100.4,1kmN3100E3921,4000.000000000000000,1000000.000000000000000,"11817"
11070,4.0.39210000.31010000,3921.3101.4,1kmN3101E3921,4000.000000000000000,1000000.000000000000000,"4951"
11071,4.0.39210000.31020000,3921.3102.4,1kmN3102E3921,4000.000000000000000,1000000.000000000000000,"8406"
11219,4.0.39220000.30880000,3922.3088.4,1kmN3088E3922,4000.000000000000000,1000000.000000000000000,"1417"
11220,4.0.39220000.30890000,3922.3089.4,1kmN3089E3922,4000.000000000000000,1000000.000000000000000,"2847"
11221,4.0.39220000.30900000,3922.3090.4,1kmN3090E3922,4000.000000000000000,1000000.000000000000000,"3102"
11222,4.0.39220000.30910000,3922.3091.4,1kmN3091E3922,4000.000000000000000,1000000.000000000000000,"5847"
11223,4.0.39220000.30920000,3922.3092.4,1kmN3092E3922,4000.000000000000000,1000000.000000000000000,"8950"
11224,4.0.39220000.30930000,3922.3093.4,1kmN3093E3922,4000.000000000000000,1000000.000000000000000,"16343"
11225,4.0.39220000.30940000,3922.3094.4,1kmN3094E3922,4000.000000000000000,1000000.000000000000000,"19312"
11226,4.0.39220000.30950000,3922.3095.4,1kmN3095E3922,4000.000000000000000,1000000.000000000000000,"20979"
11227,4.0.39220000.30960000,3922.3096.4,1kmN3096E3922,4000.000000000000000,1000000.000000000000000,"19767"
11228,4.0.39220000.30970000,3922.3097.4,1kmN3097E3922,4000.000000000000000,1000000.000000000000000,"18142"
11229,4.0.39220000.30980000,3922.3098.4,1kmN3098E3922,4000.000000000000000,1000000.000000000000000,"27157"
11230,4.0.39220000.30990000,3922.3099.4,1kmN3099E3922,4000.000000000000000,1000000.000000000000000,"20004"
11231,4.0.39220000.31000000,3922.3100.4,1kmN3100E3922,4000.000000000000000,1000000.000000000000000,"15086"
11232,4.0.39220000.31010000,3922.3101.4,1kmN3101E3922,4000.000000000000000,1000000.000000000000000,"7079"
11233,4.0.39220000.31020000,3922.3102.4,1kmN3102E3922,4000.000000000000000,1000000.000000000000000,"8978"
11234,4.0.39220000.31030000,3922.3103.4,1kmN3103E3922,4000.000000000000000,1000000.000000000000000,"1076"
11381,4.0.39230000.30880000,3923.3088.4,1kmN3088E3923,4000.000000000000000,1000000.000000000000000,"563"
11382,4.0.39230000.30890000,3923.3089.4,1kmN3089E3923,4000.000000000000000,1000000.000000000000000,"1047"
11383,4.0.39230000.30900000,3923.3090.4,1kmN3090E3923,4000.000000000000000,1000000.000000000000000,"2105"
11384,4.0.39230000.30910000,3923.3091.4,1kmN3091E3923,4000.000000000000000,1000000.000000000000000,"4182"
11385,4.0.39230000.30920000,3923.3092.4,1kmN3092E3923,4000.000000000000000,1000000.000000000000000,"4055"
11386,4.0.39230000.30930000,3923.3093.4,1kmN3093E3923,4000.000000000000000,1000000.000000000000000,"12378"
11387,4.0.39230000.30940000,3923.3094.4,1kmN3094E3923,4000.000000000000000,1000000.000000000000000,"15927"
11388,4.0.39230000.30950000,3923.3095.4,1kmN3095E3923,4000.000000000000000,1000000.000000000000000,"17457"
11389,4.0.39230000.30960000,3923.3096.4,1kmN3096E3923,4000.000000000000000,1000000.000000000000000,"13563"
11390,4.0.39230000.30970000,3923.3097.4,1kmN3097E3923,4000.000000000000000,1000000.000000000000000,"14613"
11391,4.0.39230000.30980000,3923.3098.4,1kmN3098E3923,4000.000000000000000,1000000.000000000000000,"13787"
11392,4.0.39230000.30990000,3923.3099.4,1kmN3099E3923,4000.000000000000000,1000000.000000000000000,"7388"
11393,4.0.39230000.31000000,3923.3100.4,1kmN3100E3923,4000.000000000000000,1000000.000000000000000,"18559"
11394,4.0.39230000.31010000,3923.3101.4,1kmN3101E3923,4000.000000000000000,1000000.000000000000000,"10074"
11395,4.0.39230000.31020000,3923.3102.4,1kmN3102E3923,4000.000000000000000,1000000.000000000000000,"494"
11396,4.0.39230000.31030000,3923.3103.4,1kmN3103E3923,4000.000000000000000,1000000.000000000000000,"1669"
11543,4.0.39240000.30880000,3924.3088.4,1kmN3088E3924,4000.000000000000000,1000000.000000000000000,"984"
11544,4.0.39240000.30890000,3924.3089.4,1kmN3089E3924,4000.000000000000000,1000000.000000000000000,"1265"
11545,4.0.39240000.30900000,3924.3090.4,1kmN3090E3924,4000.000000000000000,1000000.000000000000000,"3732"
11546,4.0.39240000.30910000,3924.3091.4,1kmN3091E3924,4000.000000000000000,1000000.000000000000000,"3694"
11547,4.0.39240000.30920000,3924.3092.4,1kmN3092E3924,4000.000000000000000,1000000.000000000000000,"4211"
11548,4.0.39240000.30930000,3924.3093.4,1kmN3093E3924,4000.000000000000000,1000000.000000000000000,"10816"
11549,4.0.39240000.30940000,3924.3094.4,1kmN3094E3924,4000.000000000000000,1000000.000000000000000,"12647"
11550,4.0.39240000.30950000,3924.3095.4,1kmN3095E3924,4000.000000000000000,1000000.000000000000000,"17692"
11551,4.0.39240000.30960000,3924.3096.4,1kmN3096E3924,4000.000000000000000,1000000.000000000000000,"1878"
11552,4.0.39240000.30970000,3924.3097.4,1kmN3097E3924,4000.000000000000000,1000000.000000000000000,"6674"
11553,4.0.39240000.30980000,3924.3098.4,1kmN3098E3924,4000.000000000000000,1000000.000000000000000,"16553"
11554,4.0.39240000.30990000,3924.3099.4,1kmN3099E3924,4000.000000000000000,1000000.000000000000000,"12854"
11555,4.0.39240000.31000000,3924.3100.4,1kmN3100E3924,4000.000000000000000,1000000.000000000000000,"6344"
11556,4.0.39240000.31010000,3924.3101.4,1kmN3101E3924,4000.000000000000000,1000000.000000000000000,"222"
11557,4.0.39240000.31020000,3924.3102.4,1kmN3102E3924,4000.000000000000000,1000000.000000000000000,"6889"
11558,4.0.39240000.31030000,3924.3103.4,1kmN3103E3924,4000.000000000000000,1000000.000000000000000,"8859"
11704,4.0.39250000.30870000,3925.3087.4,1kmN3087E3925,4000.000000000000000,1000000.000000000000000,"200"
11705,4.0.39250000.30880000,3925.3088.4,1kmN3088E3925,4000.000000000000000,1000000.000000000000000,"252"
11706,4.0.39250000.30890000,3925.3089.4,1kmN3089E3925,4000.000000000000000,1000000.000000000000000,"735"
11707,4.0.39250000.30900000,3925.3090.4,1kmN3090E3925,4000.000000000000000,1000000.000000000000000,"440"
11708,4.0.39250000.30910000,3925.3091.4,1kmN3091E3925,4000.000000000000000,1000000.000000000000000,"886"
11709,4.0.39250000.30920000,3925.3092.4,1kmN3092E3925,4000.000000000000000,1000000.000000000000000,"3995"
11710,4.0.39250000.30930000,3925.3093.4,1kmN3093E3925,4000.000000000000000,1000000.000000000000000,"11268"
11711,4.0.39250000.30940000,3925.3094.4,1kmN3094E3925,4000.000000000000000,1000000.000000000000000,"18366"
11712,4.0.39250000.30950000,3925.3095.4,1kmN3095E3925,4000.000000000000000,1000000.000000000000000,"17362"
11713,4.0.39250000.30960000,3925.3096.4,1kmN3096E3925,4000.000000000000000,1000000.000000000000000,"6359"
11714,4.0.39250000.30970000,3925.3097.4,1kmN3097E3925,4000.000000000000000,1000000.000000000000000,"29224"
11715,4.0.39250000.30980000,3925.3098.4,1kmN3098E3925,4000.000000000000000,1000000.000000000000000,"25081"
11716,4.0.39250000.30990000,3925.3099.4,1kmN3099E3925,4000.000000000000000,1000000.000000000000000,"20024"
11717,4.0.39250000.31000000,3925.3100.4,1kmN3100E3925,4000.000000000000000,1000000.000000000000000,"4212"
11718,4.0.39250000.31010000,3925.3101.4,1kmN3101E3925,4000.000000000000000,1000000.000000000000000,"2499"
11719,4.0.39250000.31020000,3925.3102.4,1kmN3102E3925,4000.000000000000000,1000000.000000000000000,"7663"
11866,4.0.39260000.30870000,3926.3087.4,1kmN3087E3926,4000.000000000000000,1000000.000000000000000,"0"
11867,4.0.39260000.30880000,3926.3088.4,1kmN3088E3926,4000.000000000000000,1000000.000000000000000,"0"
11868,4.0.39260000.30890000,3926.3089.4,1kmN3089E3926,4000.000000000000000,1000000.000000000000000,"0"
11869,4.0.39260000.30900000,3926.3090.4,1kmN3090E3926,4000.000000000000000,1000000.000000000000000,"64"
11870,4.0.39260000.30910000,3926.3091.4,1kmN3091E3926,4000.000000000000000,1000000.000000000000000,"5623"
11871,4.0.39260000.30920000,3926.3092.4,1kmN3092E3926,4000.000000000000000,1000000.000000000000000,"7751"
11872,4.0.39260000.30930000,3926.3093.4,1kmN3093E3926,4000.000000000000000,1000000.000000000000000,"4894"
11873,4.0.39260000.30940000,3926.3094.4,1kmN3094E3926,4000.000000000000000,1000000.000000000000000,"9501"
11874,4.0.39260000.30950000,3926.3095.4,1kmN3095E3926,4000.000000000000000,1000000.000000000000000,"16461"
11875,4.0.39260000.30960000,3926.3096.4,1kmN3096E3926,4000.000000000000000,1000000.000000000000000,"9077"
11876,4.0.39260000.30970000,3926.3097.4,1kmN3097E3926,4000.000000000000000,1000000.000000000000000,"18931"
11877,4.0.39260000.30980000,3926.3098.4,1kmN3098E3926,4000.000000000000000,1000000.000000000000000,"8580"
11878,4.0.39260000.30990000,3926.3099.4,1kmN3099E3926,4000.000000000000000,1000000.000000000000000,"16639"
11879,4.0.39260000.31000000,3926.3100.4,1kmN3100E3926,4000.000000000000000,1000000.000000000000000,"8115"
11880,4.0.39260000.31010000,3926.3101.4,1kmN3101E3926,4000.000000000000000,1000000.000000000000000,"3073"
11881,4.0.39260000.31020000,3926.3102.4,1kmN3102E3926,4000.000000000000000,1000000.000000000000000,"6550"
11882,4.0.39260000.31030000,3926.3103.4,1kmN3103E3926,4000.000000000000000,1000000.000000000000000,"2142"
12029,4.0.39270000.30880000,3927.3088.4,1kmN3088E3927,4000.000000000000000,1000000.000000000000000,"0"
12030,4.0.39270000.30890000,3927.3089.4,1kmN3089E3927,4000.000000000000000,1000000.000000000000000,"0"
12031,4.0.39270000.30900000,3927.3090.4,1kmN3090E3927,4000.000000000000000,1000000.000000000000000,"752"
12032,4.0.39270000.30910000,3927.3091.4,1kmN3091E3927,4000.000000000000000,1000000.000000000000000,"5239"
12033,4.0.39270000.30920000,3927.3092.4,1kmN3092E3927,4000.000000000000000,1000000.000000000000000,"5986"
12034,4.0.39270000.30930000,3927.3093.4,1kmN3093E3927,4000.000000000000000,1000000.000000000000000,"9744"
12035,4.0.39270000.30940000,3927.3094.4,1kmN3094E3927,4000.000000000000000,1000000.000000000000000,"11090"
12036,4.0.39270000.30950000,3927.3095.4,1kmN3095E3927,4000.000000000000000,1000000.000000000000000,"9682"
12037,4.0.39270000.30960000,3927.3096.4,1kmN3096E3927,4000.000000000000000,1000000.000000000000000,"12401"
12038,4.0.39270000.30970000,3927.3097.4,1kmN3097E3927,4000.000000000000000,1000000.000000000000000,"7699"
12039,4.0.39270000.30980000,3927.3098.4,1kmN3098E3927,4000.000000000000000,1000000.000000000000000,"9371"
12040,4.0.39270000.30990000,3927.3099.4,1kmN3099E3927,4000.000000000000000,1000000.000000000000000,"11067"
12041,4.0.39270000.31000000,3927.3100.4,1kmN3100E3927,4000.000000000000000,1000000.000000000000000,"7863"
12042,4.0.39270000.31010000,3927.3101.4,1kmN3101E3927,4000.000000000000000,1000000.000000000000000,"107"
12043,4.0.39270000.31020000,3927.3102.4,1kmN3102E3927,4000.000000000000000,1000000.000000000000000,"685"
12044,4.0.39270000.31030000,3927.3103.4,1kmN3103E3927,4000.000000000000000,1000000.000000000000000,"3"
12045,4.0.39270000.31040000,3927.3104.4,1kmN3104E3927,4000.000000000000000,1000000.000000000000000,"1386"
12190,4.0.39280000.30880000,3928.3088.4,1kmN3088E3928,4000.000000000000000,1000000.000000000000000,"5"
12191,4.0.39280000.30890000,3928.3089.4,1kmN3089E3928,4000.000000000000000,1000000.000000000000000,"68"
12192,4.0.39280000.30900000,3928.3090.4,1kmN3090E3928,4000.000000000000000,1000000.000000000000000,"1591"
12193,4.0.39280000.30910000,3928.3091.4,1kmN3091E3928,4000.000000000000000,1000000.000000000000000,"1369"
12194,4.0.39280000.30920000,3928.3092.4,1kmN3092E3928,4000.000000000000000,1000000.000000000000000,"6180"
12195,4.0.39280000.30930000,3928.3093.4,1kmN3093E3928,4000.000000000000000,1000000.000000000000000,"7179"
12196,4.0.39280000.30940000,3928.3094.4,1kmN3094E3928,4000.000000000000000,1000000.000000000000000,"2760"
12197,4.0.39280000.30950000,3928.3095.4,1kmN3095E3928,4000.000000000000000,1000000.000000000000000,"7354"
12198,4.0.39280000.30960000,3928.3096.4,1kmN3096E3928,4000.000000000000000,1000000.000000000000000,"12794"
12199,4.0.39280000.30970000,3928.3097.4,1kmN3097E3928,4000.000000000000000,1000000.000000000000000,"6644"
12200,4.0.39280000.30980000,3928.3098.4,1kmN3098E3928,4000.000000000000000,1000000.000000000000000,"6250"
12201,4.0.39280000.30990000,3928.3099.4,1kmN3099E3928,4000.000000000000000,1000000.000000000000000,"1643"
12202,4.0.39280000.31000000,3928.3100.4,1kmN3100E3928,4000.000000000000000,1000000.000000000000000,"286"
12203,4.0.39280000.31010000,3928.3101.4,1kmN3101E3928,4000.000000000000000,1000000.000000000000000,"2569"
12204,4.0.39280000.31020000,3928.3102.4,1kmN3102E3928,4000.000000000000000,1000000.000000000000000,"1059"
12205,4.0.39280000.31030000,3928.3103.4,1kmN3103E3928,4000.000000000000000,1000000.000000000000000,"157"
12206,4.0.39280000.31040000,3928.3104.4,1kmN3104E3928,4000.000000000000000,1000000.000000000000000,"1049"
12349,4.0.39290000.30880000,3929.3088.4,1kmN3088E3929,4000.000000000000000,1000000.000000000000000,"0"
12350,4.0.39290000.30890000,3929.3089.4,1kmN3089E3929,4000.000000000000000,1000000.000000000000000,"0"
12351,4.0.39290000.30900000,3929.3090.4,1kmN3090E3929,4000.000000000000000,1000000.000000000000000,"0"
12352,4.0.39290000.30910000,3929.3091.4,1kmN3091E3929,4000.000000000000000,1000000.000000000000000,"1125"
12353,4.0.39290000.30920000,3929.3092.4,1kmN3092E3929,4000.000000000000000,1000000.000000000000000,"3861"
12354,4.0.39290000.30930000,3929.3093.4,1kmN3093E3929,4000.000000000000000,1000000.000000000000000,"1657"
12355,4.0.39290000.30940000,3929.3094.4,1kmN3094E3929,4000.000000000000000,1000000.000000000000000,"1898"
12356,4.0.39290000.30950000,3929.3095.4,1kmN3095E3929,4000.000000000000000,1000000.000000000000000,"5743"
12357,4.0.39290000.30960000,3929.3096.4,1kmN3096E3929,4000.000000000000000,1000000.000000000000000,"6213"
12358,4.0.39290000.30970000,3929.3097.4,1kmN3097E3929,4000.000000000000000,1000000.000000000000000,"8185"
12359,4.0.39290000.30980000,3929.3098.4,1kmN3098E3929,4000.000000000000000,1000000.000000000000000,"2265"
12360,4.0.39290000.30990000,3929.3099.4,1kmN3099E3929,4000.000000000000000,1000000.000000000000000,"249"
12361,4.0.39290000.31000000,3929.3100.4,1kmN3100E3929,4000.000000000000000,1000000.000000000000000,"241"
12362,4.0.39290000.31010000,3929.3101.4,1kmN3101E3929,4000.000000000000000,1000000.000000000000000,"2517"
12363,4.0.39290000.31020000,3929.3102.4,1kmN3102E3929,4000.000000000000000,1000000.000000000000000,"1602"
12508,4.0.39300000.30890000,3930.3089.4,1kmN3089E3930,4000.000000000000000,1000000.000000000000000,"145"
12509,4.0.39300000.30900000,3930.3090.4,1kmN3090E3930,4000.000000000000000,1000000.000000000000000,"0"
12510,4.0.39300000.30910000,3930.3091.4,1kmN3091E3930,4000.000000000000000,1000000.000000000000000,"0"
12511,4.0.39300000.30920000,3930.3092.4,1kmN3092E3930,4000.000000000000000,1000000.000000000000000,"0"
12512,4.0.39300000.30930000,3930.3093.4,1kmN3093E3930,4000.000000000000000,1000000.000000000000000,"817"
12513,4.0.39300000.30940000,3930.3094.4,1kmN3094E3930,4000.000000000000000,1000000.000000000000000,"4284"
12514,4.0.39300000.30950000,3930.3095.4,1kmN3095E3930,4000.000000000000000,1000000.000000000000000,"5492"
12515,4.0.39300000.30960000,3930.3096.4,1kmN3096E3930,4000.000000000000000,1000000.000000000000000,"3637"
12516,4.0.39300000.30970000,3930.3097.4,1kmN3097E3930,4000.000000000000000,1000000.000000000000000,"2434"
12517,4.0.39300000.30980000,3930.3098.4,1kmN3098E3930,4000.000000000000000,1000000.000000000000000,"2881"
12671,4.0.39310000.30890000,3931.3089.4,1kmN3089E3931,4000.000000000000000,1000000.000000000000000,"271"
12672,4.0.39310000.30900000,3931.3090.4,1kmN3090E3931,4000.000000000000000,1000000.000000000000000,"56"
12673,4.0.39310000.30910000,3931.3091.4,1kmN3091E3931,4000.000000000000000,1000000.000000000000000,"4"
12675,4.0.39310000.30930000,3931.3093.4,1kmN3093E3931,4000.000000000000000,1000000.000000000000000,"574"
12676,4.0.39310000.30940000,3931.3094.4,1kmN3094E3931,4000.000000000000000,1000000.000000000000000,"3837"
12677,4.0.39310000.30950000,3931.3095.4,1kmN3095E3931,4000.000000000000000,1000000.000000000000000,"5418"
12678,4.0.39310000.30960000,3931.3096.4,1kmN3096E3931,4000.000000000000000,1000000.000000000000000,"4931"
12679,4.0.39310000.30970000,3931.3097.4,1kmN3097E3931,4000.000000000000000,1000000.000000000000000,"3094"
12838,4.0.39320000.30900000,3932.3090.4,1kmN3090E3932,4000.000000000000000,1000000.000000000000000,"746"
12841,4.0.39320000.30930000,3932.3093.4,1kmN3093E3932,4000.000000000000000,1000000.000000000000000,"556"
